model,angle_deg,accuracy_pct
baseline,0,99.33920704845815
baseline,15,99.11894273127754
baseline,30,97.13656387665198
baseline,45,96.47577092511013
baseline,60,93.3920704845815
baseline,75,89.42731277533039
baseline,90,89.20704845814979
baseline,105,85.46255506607929
baseline,120,86.34361233480176
baseline,135,85.02202643171806
baseline,150,83.03964757709251
baseline,165,81.4977973568282
baseline,180,81.4977973568282
baseline,195,79.29515418502203
baseline,210,83.25991189427313
baseline,225,85.68281938325991
baseline,240,87.66519823788546
baseline,255,88.32599118942731
baseline,270,92.29074889867842
baseline,285,89.64757709251101
baseline,300,92.95154185022027
baseline,315,96.47577092511013
baseline,330,97.79735682819384
baseline,345,98.6784140969163
aafnet,0,99.33920704845815
aafnet,15,99.55947136563876
aafnet,30,99.55947136563876
aafnet,45,99.55947136563876
aafnet,60,99.33920704845815
aafnet,75,98.01762114537445
aafnet,90,93.3920704845815
aafnet,105,95.15418502202643
aafnet,120,96.47577092511013
aafnet,135,95.37444933920705
aafnet,150,94.49339207048459
aafnet,165,93.6123348017621
aafnet,180,91.62995594713657
aafnet,195,92.51101321585902
aafnet,210,94.7136563876652
aafnet,225,94.93392070484582
aafnet,240,94.49339207048459
aafnet,255,94.49339207048459
aafnet,270,95.37444933920705
aafnet,285,96.47577092511013
aafnet,300,98.23788546255507
aafnet,315,99.33920704845815
aafnet,330,99.77973568281938
aafnet,345,99.55947136563876
