config,config_label,condition,condition_label,accuracy_pct
baseline,RN50,clean,Clean,98.17251461988305
baseline,RN50,gauss_noise@0.05,N0.05,13.215859030837004
baseline,RN50,gauss_noise@0.1,N0.10,13.215859030837004
baseline,RN50,gauss_noise@0.2,N0.20,13.142437591776797
baseline,RN50,motion_blur@5,B5,82.37885462555066
baseline,RN50,motion_blur@11,B11,58.0029368575624
baseline,RN50,motion_blur@17,B17,49.9265785609398
baseline,RN50,brightness@0.4,Bright,84.14096916299559
baseline,RN50,occlusion@0.3,Occ,91.92364170337738
nx_only,+Noise,clean,Clean,98.83040935672514
nx_only,+Noise,gauss_noise@0.05,N0.05,97.94419970631424
nx_only,+Noise,gauss_noise@0.1,N0.10,95.96182085168869
nx_only,+Noise,gauss_noise@0.2,N0.20,71.87958883994126
nx_only,+Noise,motion_blur@5,B5,84.58149779735683
nx_only,+Noise,motion_blur@11,B11,54.69897209985316
nx_only,+Noise,motion_blur@17,B17,43.68575624082232
nx_only,+Noise,brightness@0.4,Bright,83.77386196769456
nx_only,+Noise,occlusion@0.3,Occ,90.89574155653452
archaug_no_noise,+ArchAug,clean,Clean,98.90350877192982
archaug_no_noise,+ArchAug,gauss_noise@0.05,N0.05,13.215859030837004
archaug_no_noise,+ArchAug,gauss_noise@0.1,N0.10,16.372980910425845
archaug_no_noise,+ArchAug,gauss_noise@0.2,N0.20,17.32745961820852
archaug_no_noise,+ArchAug,motion_blur@5,B5,94.34654919236417
archaug_no_noise,+ArchAug,motion_blur@11,B11,74.15565345080762
archaug_no_noise,+ArchAug,motion_blur@17,B17,63.21585903083701
archaug_no_noise,+ArchAug,brightness@0.4,Bright,91.26284875183552
archaug_no_noise,+ArchAug,occlusion@0.3,Occ,94.05286343612335
archaug_with_noise,+ArchAug+N,clean,Clean,98.53801169590643
archaug_with_noise,+ArchAug+N,gauss_noise@0.05,N0.05,97.13656387665198
archaug_with_noise,+ArchAug+N,gauss_noise@0.1,N0.10,95.81497797356829
archaug_with_noise,+ArchAug+N,gauss_noise@0.2,N0.20,72.76064610866374
archaug_with_noise,+ArchAug+N,motion_blur@5,B5,95.88839941262849
archaug_with_noise,+ArchAug+N,motion_blur@11,B11,80.61674008810571
archaug_with_noise,+ArchAug+N,motion_blur@17,B17,70.63142437591777
archaug_with_noise,+ArchAug+N,brightness@0.4,Bright,92.65785609397945
archaug_with_noise,+ArchAug+N,occlusion@0.3,Occ,93.02496328928046
mssa_only,+MSSA,clean,Clean,98.46491228070175
mssa_only,+MSSA,gauss_noise@0.05,N0.05,14.317180616740089
mssa_only,+MSSA,gauss_noise@0.1,N0.10,14.390602055800294
mssa_only,+MSSA,gauss_noise@0.2,N0.20,13.069016152716594
mssa_only,+MSSA,motion_blur@5,B5,82.8928046989721
mssa_only,+MSSA,motion_blur@11,B11,59.47136563876653
mssa_only,+MSSA,motion_blur@17,B17,44.64023494860499
mssa_only,+MSSA,brightness@0.4,Bright,85.24229074889868
mssa_only,+MSSA,occlusion@0.3,Occ,93.61233480176212
mssa_archaug_noise,+MSSA+Aug,clean,Clean,98.75730994152048
mssa_archaug_noise,+MSSA+Aug,gauss_noise@0.05,N0.05,96.91629955947137
mssa_archaug_noise,+MSSA+Aug,gauss_noise@0.1,N0.10,96.84287812041116
mssa_archaug_noise,+MSSA+Aug,gauss_noise@0.2,N0.20,76.2114537444934
mssa_archaug_noise,+MSSA+Aug,motion_blur@5,B5,96.2555066079295
mssa_archaug_noise,+MSSA+Aug,motion_blur@11,B11,79.58883994126285
mssa_archaug_noise,+MSSA+Aug,motion_blur@17,B17,69.67694566813508
mssa_archaug_noise,+MSSA+Aug,brightness@0.4,Bright,93.97944199706313
mssa_archaug_noise,+MSSA+Aug,occlusion@0.3,Occ,93.83259911894272
aafnet_full,AAFNet,clean,Clean,98.9766081871345
aafnet_full,AAFNet,gauss_noise@0.05,N0.05,96.98972099853157
aafnet_full,AAFNet,gauss_noise@0.1,N0.10,95.96182085168869
aafnet_full,AAFNet,gauss_noise@0.2,N0.20,76.72540381791482
aafnet_full,AAFNet,motion_blur@5,B5,92.14390602055799
aafnet_full,AAFNet,motion_blur@11,B11,71.58590308370044
aafnet_full,AAFNet,motion_blur@17,B17,63.21585903083701
aafnet_full,AAFNet,brightness@0.4,Bright,92.29074889867842
aafnet_full,AAFNet,occlusion@0.3,Occ,93.53891336270192
