dataset,model,true_class_index,pred_class_index,true_class_name,pred_class_name,count,row_normalized
AL6,baseline,1,1,class_1,class_1,60,1.0
AL6,baseline,1,2,class_1,class_2,0,0.0
AL6,baseline,1,3,class_1,class_3,0,0.0
AL6,baseline,1,4,class_1,class_4,0,0.0
AL6,baseline,1,5,class_1,class_5,0,0.0
AL6,baseline,1,6,class_1,class_6,0,0.0
AL6,baseline,2,1,class_2,class_1,0,0.0
AL6,baseline,2,2,class_2,class_2,133,0.9925373134328358
AL6,baseline,2,3,class_2,class_3,0,0.0
AL6,baseline,2,4,class_2,class_4,0,0.0
AL6,baseline,2,5,class_2,class_5,1,0.007462686567164179
AL6,baseline,2,6,class_2,class_6,0,0.0
AL6,baseline,3,1,class_3,class_1,0,0.0
AL6,baseline,3,2,class_3,class_2,0,0.0
AL6,baseline,3,3,class_3,class_3,82,1.0
AL6,baseline,3,4,class_3,class_4,0,0.0
AL6,baseline,3,5,class_3,class_5,0,0.0
AL6,baseline,3,6,class_3,class_6,0,0.0
AL6,baseline,4,1,class_4,class_1,0,0.0
AL6,baseline,4,2,class_4,class_2,0,0.0
AL6,baseline,4,3,class_4,class_3,0,0.0
AL6,baseline,4,4,class_4,class_4,32,1.0
AL6,baseline,4,5,class_4,class_5,0,0.0
AL6,baseline,4,6,class_4,class_6,0,0.0
AL6,baseline,5,1,class_5,class_1,0,0.0
AL6,baseline,5,2,class_5,class_2,0,0.0
AL6,baseline,5,3,class_5,class_3,0,0.0
AL6,baseline,5,4,class_5,class_4,0,0.0
AL6,baseline,5,5,class_5,class_5,58,1.0
AL6,baseline,5,6,class_5,class_6,0,0.0
AL6,baseline,6,1,class_6,class_1,2,0.022727272727272728
AL6,baseline,6,2,class_6,class_2,0,0.0
AL6,baseline,6,3,class_6,class_3,0,0.0
AL6,baseline,6,4,class_6,class_4,0,0.0
AL6,baseline,6,5,class_6,class_5,0,0.0
AL6,baseline,6,6,class_6,class_6,86,0.9772727272727273
AL6,aafnet,1,1,class_1,class_1,60,1.0
AL6,aafnet,1,2,class_1,class_2,0,0.0
AL6,aafnet,1,3,class_1,class_3,0,0.0
AL6,aafnet,1,4,class_1,class_4,0,0.0
AL6,aafnet,1,5,class_1,class_5,0,0.0
AL6,aafnet,1,6,class_1,class_6,0,0.0
AL6,aafnet,2,1,class_2,class_1,0,0.0
AL6,aafnet,2,2,class_2,class_2,133,0.9925373134328358
AL6,aafnet,2,3,class_2,class_3,0,0.0
AL6,aafnet,2,4,class_2,class_4,0,0.0
AL6,aafnet,2,5,class_2,class_5,0,0.0
AL6,aafnet,2,6,class_2,class_6,1,0.007462686567164179
AL6,aafnet,3,1,class_3,class_1,0,0.0
AL6,aafnet,3,2,class_3,class_2,0,0.0
AL6,aafnet,3,3,class_3,class_3,83,1.0
AL6,aafnet,3,4,class_3,class_4,0,0.0
AL6,aafnet,3,5,class_3,class_5,0,0.0
AL6,aafnet,3,6,class_3,class_6,0,0.0
AL6,aafnet,4,1,class_4,class_1,0,0.0
AL6,aafnet,4,2,class_4,class_2,0,0.0
AL6,aafnet,4,3,class_4,class_3,0,0.0
AL6,aafnet,4,4,class_4,class_4,32,1.0
AL6,aafnet,4,5,class_4,class_5,0,0.0
AL6,aafnet,4,6,class_4,class_6,0,0.0
AL6,aafnet,5,1,class_5,class_1,0,0.0
AL6,aafnet,5,2,class_5,class_2,0,0.0
AL6,aafnet,5,3,class_5,class_3,0,0.0
AL6,aafnet,5,4,class_5,class_4,0,0.0
AL6,aafnet,5,5,class_5,class_5,58,1.0
AL6,aafnet,5,6,class_5,class_6,0,0.0
AL6,aafnet,6,1,class_6,class_1,2,0.02247191011235955
AL6,aafnet,6,2,class_6,class_2,0,0.0
AL6,aafnet,6,3,class_6,class_3,0,0.0
AL6,aafnet,6,4,class_6,class_4,0,0.0
AL6,aafnet,6,5,class_6,class_5,0,0.0
AL6,aafnet,6,6,class_6,class_6,87,0.9775280898876404
ASP_clean,baseline,1,1,21st_Century,21st_Century,256,0.7485380116959064
ASP_clean,baseline,1,2,21st_Century,Baroque,2,0.005847953216374269
ASP_clean,baseline,1,3,21st_Century,Classical,0,0.0
ASP_clean,baseline,1,4,21st_Century,Early_Christian_Medieval,5,0.014619883040935672
ASP_clean,baseline,1,5,21st_Century,Eclecticism,3,0.008771929824561403
ASP_clean,baseline,1,6,21st_Century,Modernism,68,0.19883040935672514
ASP_clean,baseline,1,7,21st_Century,Neoclassicism,2,0.005847953216374269
ASP_clean,baseline,1,8,21st_Century,Renaissance_and_Colonialism,3,0.008771929824561403
ASP_clean,baseline,1,9,21st_Century,Revivalism,3,0.008771929824561403
ASP_clean,baseline,2,1,Baroque,21st_Century,3,0.00974025974025974
ASP_clean,baseline,2,2,Baroque,Baroque,181,0.5876623376623377
ASP_clean,baseline,2,3,Baroque,Classical,3,0.00974025974025974
ASP_clean,baseline,2,4,Baroque,Early_Christian_Medieval,23,0.07467532467532467
ASP_clean,baseline,2,5,Baroque,Eclecticism,4,0.012987012987012988
ASP_clean,baseline,2,6,Baroque,Modernism,3,0.00974025974025974
ASP_clean,baseline,2,7,Baroque,Neoclassicism,17,0.05519480519480519
ASP_clean,baseline,2,8,Baroque,Renaissance_and_Colonialism,50,0.16233766233766234
ASP_clean,baseline,2,9,Baroque,Revivalism,24,0.07792207792207792
ASP_clean,baseline,3,1,Classical,21st_Century,10,0.03546099290780142
ASP_clean,baseline,3,2,Classical,Baroque,2,0.0070921985815602835
ASP_clean,baseline,3,3,Classical,Classical,238,0.8439716312056738
ASP_clean,baseline,3,4,Classical,Early_Christian_Medieval,12,0.0425531914893617
