dataset,model,source_curve,epoch,train_acc,val_acc,train_loss,val_loss
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,1,0.2890625,0.4543795585632324,1.703137755393982,1.704885482788086
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,2,0.5486111044883728,0.6551094651222229,1.3941762447357178,1.4754732847213745
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,3,0.6779513955116272,0.6843065619468689,1.073103904724121,1.1023448705673218
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,4,0.7803819179534912,0.7299270033836365,0.7327750325202942,0.7703754901885986
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,5,0.8680555820465088,0.790145993232727,0.4534952938556671,0.5104355812072754
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,6,0.9027777910232544,0.8521897792816162,0.29380834102630615,0.3594954311847687
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,7,0.9418402910232544,0.8941605687141418,0.17910116910934448,0.24305756390094757
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,8,0.9678819179534912,0.9489051103591919,0.1028839647769928,0.1419806033372879
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,9,0.9774305820465088,0.9689781069755554,0.08130687475204468,0.09420333802700043
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,10,0.9869791865348816,0.9817517995834351,0.05533802509307861,0.07576319575309753
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,11,0.9861111044883728,0.9817517995834351,0.04035056009888649,0.06163719668984413
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,12,0.9895833134651184,0.989051103591919,0.03400585055351257,0.04819220304489136
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,13,0.9921875,0.9872262477874756,0.028043929487466812,0.04060622677206993
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,14,0.9973958134651184,0.989051103591919,0.021570226177573204,0.034879934042692184
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,15,0.9965277910232544,0.9872262477874756,0.016776863485574722,0.03675006330013275
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,16,0.9982638955116272,0.989051103591919,0.014575187116861343,0.03584073856472969
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,17,0.9965277910232544,0.989051103591919,0.013683214783668518,0.035713233053684235
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,18,0.9982638955116272,0.989051103591919,0.009322128258645535,0.038124389946460724
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,19,1.0,0.9872262477874756,0.010028966702520847,0.03539566323161125
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,20,0.9965277910232544,0.985401451587677,0.01295405998826027,0.037324924021959305
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,21,0.9991319179534912,0.985401451587677,0.007502113934606314,0.035674408078193665
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,22,0.9982638955116272,0.989051103591919,0.008008003234863281,0.032746147364377975
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,23,0.9982638955116272,0.989051103591919,0.007086329162120819,0.03147643059492111
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,24,0.9982638955116272,0.989051103591919,0.009829851798713207,0.03314381465315819
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,25,1.0,0.9908758997917175,0.004926195368170738,0.03506312891840935
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,26,1.0,0.9908758997917175,0.004290979355573654,0.035842955112457275
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,27,1.0,0.9908758997917175,0.005051190499216318,0.035168640315532684
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,28,0.9982638955116272,0.9908758997917175,0.0047670332714915276,0.035631295293569565
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,29,0.9991319179534912,0.9908758997917175,0.004584567621350288,0.036327432841062546
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,30,1.0,0.9908758997917175,0.00467679463326931,0.036413904279470444
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,31,1.0,0.9908758997917175,0.004437969997525215,0.03521254286170006
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,32,1.0,0.9908758997917175,0.0035309833474457264,0.033891744911670685
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,33,1.0,0.9908758997917175,0.003283559810370207,0.033287446945905685
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,34,1.0,0.9908758997917175,0.003228965448215604,0.03354743495583534
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,35,1.0,0.9908758997917175,0.0023791652638465166,0.03427199646830559
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,36,0.9991319179534912,0.9908758997917175,0.004991429392248392,0.034235477447509766
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,37,1.0,0.9908758997917175,0.002587192226201296,0.034716032445430756
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,38,1.0,0.9908758997917175,0.002771962434053421,0.03490070253610611
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,39,0.9982638955116272,0.9908758997917175,0.0042992811650037766,0.034728579223155975
AL6,baseline,outputs/ddp_baseline/20260508_115052/resnet50/training_curve.csv,40,0.9982638955116272,0.9908758997917175,0.003681048285216093,0.03429009020328522
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,1,0.2161458283662796,0.34306567907333374,2.2936391830444336,2.1972382068634033
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,2,0.3967013955116272,0.5638686418533325,2.08205509185791,2.02726674079895
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,3,0.5286458134651184,0.720802903175354,1.8857691287994385,1.7076879739761353
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,4,0.640625,0.7554744482040405,1.6419779062271118,1.2899295091629028
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,5,0.6996527910232544,0.8321167826652527,1.4070839881896973,1.0671478509902954
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,6,0.8038194179534912,0.8467153310775757,1.21144700050354,0.9559428691864014
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,7,0.8472222089767456,0.8996350169181824,1.07886803150177,0.8803568482398987
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,8,0.8932291865348816,0.9197080135345459,1.0141931772232056,0.8566184043884277
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,9,0.9244791865348816,0.9251824617385864,0.9273511171340942,0.8261707425117493
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,10,0.9175347089767456,0.9525547623634338,0.9049508571624756,0.7500898838043213
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,11,0.9401041865348816,0.9653284549713135,0.8531169891357422,0.725651204586029
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,12,0.9375,0.9762773513793945,0.8758988976478577,0.7186514139175415
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,13,0.9444444179534912,0.9835766553878784,0.8653246760368347,0.7059521675109863
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,14,0.9418402910232544,0.9817517995834351,0.8261908292770386,0.6940463185310364
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,15,0.9557291865348816,0.9835766553878784,0.7838078737258911,0.692310094833374
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,16,0.9618055820465088,0.985401451587677,0.7823504209518433,0.6819332838058472
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,17,0.9730902910232544,0.9762773513793945,0.7644326090812683,0.6896345019340515
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,18,0.9635416865348816,0.985401451587677,0.7777522206306458,0.6821072697639465
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,19,0.9748263955116272,0.989051103591919,0.7680857181549072,0.6684200763702393
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,20,0.9678819179534912,0.9908758997917175,0.7615191340446472,0.6653121709823608
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,21,0.9713541865348816,0.9908758997917175,0.7449740171432495,0.6633946299552917
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,22,0.96875,0.9908758997917175,0.7554962635040283,0.6584393978118896
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,23,0.9722222089767456,0.9908758997917175,0.7346439957618713,0.6550967693328857
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,24,0.9748263955116272,0.9908758997917175,0.7386007308959961,0.6491551399230957
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,25,0.9748263955116272,0.9945255517959595,0.7342232465744019,0.6475764513015747
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,26,0.9791666865348816,0.9927007555961609,0.7277472019195557,0.6491110920906067
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,27,0.9835069179534912,0.9945255517959595,0.7080533504486084,0.6490858197212219
AL6,aafnet,outputs/ddp_aafnet_v2/20260508_125340/resnet50/training_curve.csv,28,0.9835069179534912,0.9927007555961609,0.7056423425674438,0.6490765810012817
