dataset,model,metric,value
AL6,baseline,mean,0.899596182085169
AL6,baseline,min,0.7929515418502202
AL6,baseline,acc@0,0.9933920704845814
AL6,baseline,acc@90,0.8920704845814978
AL6,baseline,acc@180,0.8149779735682819
AL6,baseline,acc@270,0.9229074889867841
AL6,aafnet,mean,0.9647577092511014
AL6,aafnet,min,0.9162995594713657
AL6,aafnet,acc@0,0.9933920704845814
AL6,aafnet,acc@90,0.933920704845815
AL6,aafnet,acc@180,0.9162995594713657
AL6,aafnet,acc@270,0.9537444933920705
ASP_clean,baseline,mean,0.614414989131462
ASP_clean,baseline,min,0.5228239296852849
ASP_clean,baseline,acc@0,0.704564785937057
ASP_clean,baseline,acc@90,0.6124184859654097
ASP_clean,baseline,acc@180,0.5531613269067196
ASP_clean,baseline,acc@270,0.6195066628863056
ASP_clean,aafnet,mean,0.6454257631603818
ASP_clean,aafnet,min,0.5418202438332861
ASP_clean,aafnet,acc@0,0.7241281542387298
ASP_clean,aafnet,acc@90,0.6056138361213496
ASP_clean,aafnet,acc@180,0.5418202438332861
ASP_clean,aafnet,acc@270,0.641621774879501
AS25_clean,baseline,mean,0.5385373799725651
AS25_clean,baseline,min,0.4513031550068587
AS25_clean,baseline,acc@0,0.635116598079561
AS25_clean,baseline,acc@90,0.5308641975308642
AS25_clean,baseline,acc@180,0.4821673525377229
AS25_clean,baseline,acc@270,0.5452674897119342
AS25_clean,aafnet,mean,0.5761459762231368
AS25_clean,aafnet,min,0.5020576131687243
AS25_clean,aafnet,acc@0,0.6515775034293553
AS25_clean,aafnet,acc@90,0.549039780521262
AS25_clean,aafnet,acc@180,0.5058299039780522
AS25_clean,aafnet,acc@270,0.5668724279835391
