dataset,role,row_label,metric,metric_label,completed_cells,target_cells,completion_fraction
ASP_clean,baseline,ASP RN50,cv_done,CV complete,15,15,1.0
ASP_clean,baseline,ASP RN50,robust_ready,Robust ready,15,15,1.0
ASP_clean,baseline,ASP RN50,robust_done,Robust done,15,15,1.0
ASP_clean,baseline,ASP RN50,cal_ready,Calib. ready,15,15,1.0
ASP_clean,baseline,ASP RN50,cal_done,Calib. done,15,15,1.0
ASP_clean,baseline,ASP RN50,rot_ready,Rotation ready,15,15,1.0
ASP_clean,baseline,ASP RN50,rot_done,Rotation done,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,cv_done,CV complete,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,robust_ready,Robust ready,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,robust_done,Robust done,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,cal_ready,Calib. ready,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,cal_done,Calib. done,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,rot_ready,Rotation ready,15,15,1.0
ASP_clean,aafnet,ASP AAFNet,rot_done,Rotation done,15,15,1.0
AS25_clean,baseline,AS25 RN50,cv_done,CV complete,15,15,1.0
AS25_clean,baseline,AS25 RN50,robust_ready,Robust ready,15,15,1.0
AS25_clean,baseline,AS25 RN50,robust_done,Robust done,15,15,1.0
AS25_clean,baseline,AS25 RN50,cal_ready,Calib. ready,15,15,1.0
AS25_clean,baseline,AS25 RN50,cal_done,Calib. done,15,15,1.0
AS25_clean,baseline,AS25 RN50,rot_ready,Rotation ready,15,15,1.0
AS25_clean,baseline,AS25 RN50,rot_done,Rotation done,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,cv_done,CV complete,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,robust_ready,Robust ready,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,robust_done,Robust done,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,cal_ready,Calib. ready,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,cal_done,Calib. done,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,rot_ready,Rotation ready,15,15,1.0
AS25_clean,aafnet,AS25 AAFNet,rot_done,Rotation done,15,15,1.0
