dataset,role,task,seed,fold,condition,stage,metric,value,temperature,result_path
ASP_clean,baseline,asp_baseline,42,0,clean,pre,accuracy,0.7349021831584917,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,pre,ece,0.16468332425237275,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,pre,nll,1.1400978565216064,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,pre,brier,0.42883115782365455,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,post,accuracy,0.7349021831584917,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,post,ece,0.10151780607310308,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,post,nll,0.8796858191490173,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,clean,post,brier,0.3959754269292231,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,pre,accuracy,0.14658349872412815,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,pre,ece,0.44784464829698784,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,pre,nll,3.725574493408203,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,pre,brier,1.1894083920316063,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,post,accuracy,0.14658349872412815,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,post,ece,0.3099886722374746,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,noise_0_05,post,nll,2.90956449508667,1.5209859609603882,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
