dataset,role,condition,stage,metric,n,mean,std
AS25_clean,aafnet,clean,post,accuracy,15,0.67658893,0.00591928
AS25_clean,aafnet,clean,post,brier,15,0.46192367,0.00874218
AS25_clean,aafnet,clean,post,ece,15,0.08923018,0.00876048
AS25_clean,aafnet,clean,post,nll,15,1.12035577,0.02024844
AS25_clean,aafnet,clean,pre,accuracy,15,0.67658893,0.00591928
AS25_clean,aafnet,clean,pre,brier,15,0.45619448,0.00656540
AS25_clean,aafnet,clean,pre,ece,15,0.06565418,0.00660836
AS25_clean,aafnet,clean,pre,nll,15,1.12033610,0.01460647
AS25_clean,aafnet,noise_0_05,post,accuracy,15,0.66268861,0.00577491
AS25_clean,aafnet,noise_0_05,post,brier,15,0.48278327,0.00748276
AS25_clean,aafnet,noise_0_05,post,ece,15,0.10002583,0.00952561
AS25_clean,aafnet,noise_0_05,post,nll,15,1.17734261,0.01767241
AS25_clean,aafnet,noise_0_05,pre,accuracy,15,0.66268861,0.00577491
AS25_clean,aafnet,noise_0_05,pre,brier,15,0.47220225,0.00595139
AS25_clean,aafnet,noise_0_05,pre,ece,15,0.05435062,0.00483910
AS25_clean,aafnet,noise_0_05,pre,nll,15,1.15984790,0.01377557
AS25_clean,aafnet,noise_0_10,post,accuracy,15,0.63799726,0.00436809
AS25_clean,aafnet,noise_0_10,post,brier,15,0.51463486,0.00675347
AS25_clean,aafnet,noise_0_10,post,ece,15,0.10818800,0.00777882
AS25_clean,aafnet,noise_0_10,post,nll,15,1.27511381,0.01694746
AS25_clean,aafnet,noise_0_10,pre,accuracy,15,0.63799726,0.00436809
AS25_clean,aafnet,noise_0_10,pre,brier,15,0.50140292,0.00579651
AS25_clean,aafnet,noise_0_10,pre,ece,15,0.05132734,0.00595635
AS25_clean,aafnet,noise_0_10,pre,nll,15,1.24684451,0.01376139
AS25_clean,baseline,clean,post,accuracy,15,0.66817558,0.00676062
AS25_clean,baseline,clean,post,brier,15,0.48487907,0.00860673
AS25_clean,baseline,clean,post,ece,15,0.13028046,0.00727638
AS25_clean,baseline,clean,post,nll,15,1.23334071,0.02381706
AS25_clean,baseline,clean,pre,accuracy,15,0.66817558,0.00676062
AS25_clean,baseline,clean,pre,brier,15,0.50710951,0.00795392
AS25_clean,baseline,clean,pre,ece,15,0.17615521,0.00696634
AS25_clean,baseline,clean,pre,nll,15,1.39193679,0.03515728
AS25_clean,baseline,noise_0_05,post,accuracy,15,0.04652492,0.00691865
AS25_clean,baseline,noise_0_05,post,brier,15,1.11742394,0.04366772
AS25_clean,baseline,noise_0_05,post,ece,15,0.29848593,0.05901303
AS25_clean,baseline,noise_0_05,post,nll,15,4.45425440,0.26019206
AS25_clean,baseline,noise_0_05,pre,accuracy,15,0.04652492,0.00691865
AS25_clean,baseline,noise_0_05,pre,brier,15,1.18604960,0.07167848
AS25_clean,baseline,noise_0_05,pre,ece,15,0.37555688,0.08000346
AS25_clean,baseline,noise_0_05,pre,nll,15,5.03935061,0.39173239
AS25_clean,baseline,noise_0_10,post,accuracy,15,0.03308185,0.00352155
AS25_clean,baseline,noise_0_10,post,brier,15,1.90127704,0.03240377
AS25_clean,baseline,noise_0_10,post,ece,15,0.94436661,0.02250100
AS25_clean,baseline,noise_0_10,post,nll,15,25.85270958,0.71652449
