dataset,role,task,seed,fold,status,checkpoint,result
ASP_clean,baseline,asp_baseline,42,0,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed42_fold0_train/20260619_121852/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed42_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,42,1,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed42_fold1_train/20260619_122434/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed42_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,42,2,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed42_fold2_train/20260619_123011/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed42_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,42,3,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed42_fold3_train/20260619_123519/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed42_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,42,4,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed42_fold4_train/20260619_124055/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed42_fold4/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,0,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed1337_fold0_train/20260619_124518/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed1337_fold1_train/20260619_124912/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed1337_fold2_train/20260619_125449/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed1337_fold3_train/20260619_130030/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,4,robustness_complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed1337_fold4_train/20260619_130622/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
