dataset,role,metric,n,mean,std
AS25_clean,aafnet,all_corruption_mean,15,0.58305746,0.00637978
AS25_clean,aafnet,brightness_mean,15,0.64716507,0.00614991
AS25_clean,aafnet,gauss_noise_mean,15,0.59308032,0.00619530
AS25_clean,aafnet,jpeg_compress_mean,15,0.66379363,0.00683414
AS25_clean,aafnet,motion_blur_mean,15,0.38090230,0.01999091
AS25_clean,aafnet,occlusion_mean,15,0.63034598,0.00524731
AS25_clean,baseline,all_corruption_mean,15,0.43664380,0.00563370
AS25_clean,baseline,brightness_mean,15,0.61305441,0.00755842
AS25_clean,baseline,gauss_noise_mean,15,0.03802012,0.00387915
AS25_clean,baseline,jpeg_compress_mean,15,0.62431032,0.00727882
AS25_clean,baseline,motion_blur_mean,15,0.31119494,0.01699366
AS25_clean,baseline,occlusion_mean,15,0.59663923,0.00665694
ASP_clean,aafnet,all_corruption_mean,15,0.64243707,0.00673702
ASP_clean,aafnet,brightness_mean,15,0.70925873,0.00479434
ASP_clean,aafnet,gauss_noise_mean,15,0.65499795,0.01074397
ASP_clean,aafnet,jpeg_compress_mean,15,0.71895536,0.00424604
ASP_clean,aafnet,motion_blur_mean,15,0.42895126,0.02288824
ASP_clean,aafnet,occlusion_mean,15,0.70002205,0.00400440
ASP_clean,baseline,all_corruption_mean,15,0.51425133,0.00876147
ASP_clean,baseline,brightness_mean,15,0.67885833,0.00495453
ASP_clean,baseline,gauss_noise_mean,15,0.12118577,0.01723265
ASP_clean,baseline,jpeg_compress_mean,15,0.69397978,0.00593810
ASP_clean,baseline,motion_blur_mean,15,0.40253284,0.02820468
ASP_clean,baseline,occlusion_mean,15,0.67469993,0.00437867
