dataset,role,task,seed,fold,metric,angle_deg,value,result_path
ASP_clean,baseline,asp_baseline,42,0,min,,0.547207258293167,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,max,,0.7349021831584917,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,mean,,0.6393417446366129,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,std,,0.055644339570095847,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,acc@0,,0.7349021831584917,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,acc@90,,0.6336830167280976,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,acc@180,,0.5812305075134675,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,acc@270,,0.6600510348738304,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,0,0.7349021831584917,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,15,0.7190246668556847,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,30,0.7105188545506096,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,45,0.6906719591721009,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,60,0.6702580096399207,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,75,0.6331159625744258,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,90,0.6336830167280976,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,105,0.5968244967394386,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,120,0.5934221718174085,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,135,0.5786787638219449,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,150,0.571590586901049,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,165,0.547207258293167,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,180,0.5812305075134675,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,195,0.5679047349021832,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,210,0.589169265664871,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,225,0.5985256592004536,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,240,0.6115679047349022,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,255,0.6149702296569323,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,270,0.6600510348738304,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,285,0.6515452225687554,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,300,0.6745109157924581,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,315,0.6889707967110859,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,330,0.7008789339381911,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,0,angle_accuracy,345,0.7249787354692373,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold0/results.json
ASP_clean,baseline,asp_baseline,42,1,min,,0.564785937056989,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,max,,0.7309328040827899,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,mean,,0.6363528967016351,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,std,,0.053621104510731335,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,acc@0,,0.7309328040827899,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,acc@90,,0.6234760419620073,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,acc@180,,0.5747093847462432,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,acc@270,,0.6333994896512617,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,0,0.7309328040827899,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,15,0.7195917210093564,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,30,0.7076835837822512,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,45,0.6949248653246385,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,60,0.6634533597958605,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,75,0.6436064644173518,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,90,0.6234760419620073,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,105,0.6039126736603345,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,120,0.6033456195066629,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,135,0.5696058973631982,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,150,0.5735752764388999,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,165,0.564785937056989,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,180,0.5747093847462432,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,195,0.566487099518004,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,210,0.5817975616671393,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,225,0.5888857385880352,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,240,0.608449106889708,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,255,0.6141196484264247,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,270,0.6333994896512617,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,285,0.6458746810320386,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,300,0.6719591721009356,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,315,0.6739438616387865,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,330,0.7014459880918628,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,angle_accuracy,345,0.7125035440884604,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,2,min,,0.5457896229089878,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,max,,0.7263963708534165,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,mean,,0.6288630564218883,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,std,,0.053196346717633076,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,acc@0,,0.7263963708534165,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,acc@90,,0.6297136376523959,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,acc@180,,0.5701729515168699,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,acc@270,,0.6450240998015311,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,0,0.7263963708534165,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,15,0.7000283527076836,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,30,0.6983271902466686,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,45,0.6827332010206975,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,60,0.6603345619506663,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,75,0.6299971647292316,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,90,0.6297136376523959,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,105,0.5951233342784236,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,120,0.5965409696626027,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,135,0.5795293450524525,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,150,0.5520272185993762,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,165,0.5534448539835555,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,180,0.5701729515168699,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,195,0.5457896229089878,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,210,0.57697760136093,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,angle_accuracy,225,0.5914374822795577,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
