dataset,role,metric,n,mean,std
AS25_clean,aafnet,acc@0,15,0.67658893,0.00591928
AS25_clean,aafnet,acc@180,15,0.50843621,0.00792352
AS25_clean,aafnet,acc@270,15,0.58571102,0.00804106
AS25_clean,aafnet,acc@90,15,0.57158208,0.00919465
AS25_clean,aafnet,angle_accuracy,360,0.59768137,0.05904045
AS25_clean,aafnet,max,15,0.68321902,0.00525705
AS25_clean,aafnet,mean,15,0.59768137,0.00473573
AS25_clean,aafnet,min,15,0.50418381,0.00769807
AS25_clean,aafnet,std,15,0.05883269,0.00143603
AS25_clean,baseline,acc@0,15,0.66817558,0.00676062
AS25_clean,baseline,acc@180,15,0.49291267,0.00860549
AS25_clean,baseline,acc@270,15,0.56547782,0.00892464
AS25_clean,baseline,acc@90,15,0.56700960,0.00858463
AS25_clean,baseline,angle_accuracy,360,0.55342173,0.06183090
AS25_clean,baseline,max,15,0.66817558,0.00676062
AS25_clean,baseline,mean,15,0.55342173,0.00640046
AS25_clean,baseline,min,15,0.46088249,0.00812930
AS25_clean,baseline,std,15,0.06141962,0.00311838
ASP_clean,aafnet,acc@0,15,0.73575276,0.00516611
ASP_clean,aafnet,acc@180,15,0.56656271,0.01086934
ASP_clean,aafnet,acc@270,15,0.65027880,0.00756748
ASP_clean,aafnet,acc@90,15,0.62731311,0.00892750
ASP_clean,aafnet,angle_accuracy,360,0.65999118,0.05423297
ASP_clean,aafnet,max,15,0.74113978,0.00482052
ASP_clean,aafnet,mean,15,0.65999118,0.00421110
ASP_clean,aafnet,min,15,0.56656271,0.01086934
ASP_clean,aafnet,std,15,0.05398467,0.00302277
ASP_clean,baseline,acc@0,15,0.73030904,0.00471735
ASP_clean,baseline,acc@180,15,0.56760231,0.01129205
ASP_clean,baseline,acc@270,15,0.64235895,0.00782507
ASP_clean,baseline,acc@90,15,0.62697288,0.00959962
ASP_clean,baseline,angle_accuracy,360,0.63203383,0.05592111
ASP_clean,baseline,max,15,0.73030904,0.00471735
ASP_clean,baseline,mean,15,0.63203383,0.00614268
ASP_clean,baseline,min,15,0.54718836,0.01175799
ASP_clean,baseline,std,15,0.05551918,0.00265691
